"MMSI","TSTAMP","LATITUDE","LONGITUDE","COG","SOG","HEADING","NAVSTAT","IMO","NAME","CALLSIGN","TYPE","A","B","C","D","DRAUGHT","DEST","ETA"
440059000,"2016-02-29 15:50:21 GMT",35.37168,139.67346,284.6,0.8,357,1,9125308,"DAEHO.SUNRISE","DSRB7",80,80,20,10,7,5.8,"JP_YOK","02-29 23:00"
273319850,"2016-02-29 15:53:04 GMT",59.69492,28.32601,5.1,2,167,0,7434195,"ANATOLY BILICHENKO","UBUY",80,54,20,8,3,4.5,"USTLVGA","10-30 03:00"
412035030,"2016-02-29 15:52:36 GMT",29.88974,121.97908,291.4,0,97,0,0,"HAI XUN0713","",55,20,41,6,3,0,"","00-00 24:60"
413905635,"2016-02-29 15:33:00 GMT",22.97364,113.50927,68.4,0,511,0,0,"HUI HUA HANG 918","",70,71,13,10,9,3.8,"","00-00 00:00"
538071090,"2016-02-29 15:52:46 GMT",42.43157,18.69335,0,0,169,5,9564413,"4 YOU","V7NO9",37,24,24,4,4,2.2,"BUDVA","09-02 12:00"
205063000,"2016-02-29 15:53:15 GMT",51.30725,3.83065,167.9,6.9,166,4,8915469,"TERNEUZEN","ORMT",52,14,18,5,4,4.7,"HARBOUR TOWAGE","00-00 24:60"
244660959,"2016-02-29 15:53:15 GMT",52.60969,5.5141,208.5,7.5,511,0,0,"PONTIAC","PG3117",79,86,14,8,2,2.5,"VLISSINGEN DORPEN","05-31 00:00"
235090769,"2016-02-29 15:53:17 GMT",51.3876,1.48999,23,18.7,511,0,0,"ESTUARY ELAN","2FFG7",50,10,7,3,2,1.4,"PILOTAGE","00-00 24:60"
226006120,"2016-02-29 15:53:15 GMT",48.84806,2.36279,125.6,0,511,15,0,"CACHEMIRE","FM5145",69,16,6,2,3,0,"","00-00 24:60"
413901061,"2016-02-29 15:52:05 GMT",22.99499,113.51967,170.9,6,511,0,0,"BAI FU 228","",70,2,48,8,7,0,"","00-00 00:00"
367562390,"2016-02-29 15:51:59 GMT",51.70292,-8.51752,230.8,0,511,0,0,"EXODUS","WDG6952",36,8,7,2,2,0,"","00-00 00:00"
366772750,"2016-02-29 15:53:14 GMT",48.55296,-122.8479,141,16.7,141,15,8835360,"WSF YAKIMA","WCD7863",60,20,97,11,11,5.6,"","00-00 24:60"
258383000,"2016-02-29 15:46:24 GMT",58.98339,5.71089,116,0,46,5,9410612,"BB SERVER","LAJE",52,10,27,7,7,5.2,"KRISTIANSAND","03-01 09:00"
235071392,"2016-02-29 15:53:16 GMT",52.47559,1.72503,284.2,0,511,0,0,"WATERFALL","2CBT4",40,10,5,3,3,1.6,"LOWESTOFT","08-24 05:30"
413373280,"2016-02-29 15:53:11 GMT",31.46797,121.41756,360,0,511,0,0,"JUN KAI","",60,20,49,7,6,1.8,"SHIDONGKOU","02-29 17:00"
538071061,"2016-02-29 15:50:06 GMT",18.37418,-64.53217,166.6,0,77,1,1007952,"BG","V7LO5",37,25,17,4,4,3,"ST BARTS","12-27 18:30"
412380380,"2016-02-29 15:51:49 GMT",31.33576,121.55219,80.9,0,511,15,0,"TONG LING SHU  1801","",33,45,10,5,17,3,"","00-00 24:60"
245196000,"2016-02-29 15:45:28 GMT",51.8938,4.44521,224.4,0,285,5,9138408,"AIGRAN D","PBRK",82,109,17,12,7,6.4,"ROTTERDAM","02-28 18:00"
367470340,"2016-02-29 15:50:31 GMT",47.66142,-122.38452,176.7,0.1,213,5,0,"SEA LION","WDF6072",37,0,0,0,0,3,"","09-21 19:00"
244700495,"2016-02-29 15:53:15 GMT",51.81148,4.65492,309.5,0,511,15,0,"GEPKE 3","PC7570",52,5,20,2,3,0.3,"HEENENWEER","10-26 17:00"
367606880,"2016-02-29 15:52:31 GMT",25.67973,-80.26174,360,0,511,0,0,"SUDDEN MISCHIEF","",0,0,0,0,0,0,"","00-00 00:00"
248769000,"2016-02-29 15:53:05 GMT",54.96126,18.2394,270,13.2,271,8,9489417,"POLA ATLANTIC","9HA2504",70,156,24,14,16,10.2,"VERACRUZ","03-20 12:00"
413696150,"2016-02-29 15:50:11 GMT",24.44751,118.00504,358.3,0.1,101,5,0,"TUO YUAN","BVIH8",70,100,24,10,8,5.8,"XIA MEN","02-29 17:30"
412350090,"2016-02-29 15:51:38 GMT",31.37603,121.59597,120,9.3,64,0,0,"PENG XIANG 1","BHYV",70,89,17,7,9,6,"ZHOU SHAN","03-01 16:00"
244630717,"2016-02-29 15:53:01 GMT",51.29054,4.25668,0,0,511,0,0,"ESPERANTO 3/4","PF2453",79,163,20,2,10,2.5,"ATWERPEN","02-28 23:17"
319011600,"2016-02-29 15:52:46 GMT",26.13893,-80.10915,40,0,200,8,8738639,"INCOGNITO","ZCYT4",37,30,10,4,4,1.3,"FT LAUDERDALE","00-00 24:60"
211629290,"2016-02-29 15:53:13 GMT",53.84591,8.75488,185.7,0.3,156,0,8714243,"WULF 9","DFLW",52,11,22,6,4,5,"CUXHAVEN","02-28 01:00"
413456010,"2016-02-29 15:48:44 GMT",30.59082,122.05048,360,0.3,511,0,0,"U#!S97666","BIHG",70,43,20,6,6,8,"JIANG  YIN","11-26 09:00"
230052180,"2016-02-29 15:53:09 GMT",37.92915,23.68285,0,0,511,0,9436525,"INSPIRATION","OH2867",37,18,20,2,4,2.3,"AEGEAN SEA","03-30 10:00"
304448000,"2016-02-29 15:53:17 GMT",51.41193,1.38873,204.8,0.1,64,1,9282091,"APOLLO    LYNX","V2OX3",70,78,18,10,4,3,"TO ORDER","03-01 00:00"
